Key,Description,English,Bulgarian,Chinese (Simplified),Chinese (Traditional),Czech,Danish,Dutch,Finnish,French,German,Hindi,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Portuguese (Brazil),Portuguese,Romanian,Russian,Slovak,Spanish,Swedish,Turkish,Ukrainian
mm/update_title,Message box title for Multiplayer mod update,Multiplayer Mod Update Available!,,,,,,,,,,,,,,,,,,,,,,,,,
mm/update_latest,Message box title for Multiplayer mod update,Latest version:{0},,,,,,,,,,,,,,,,,,,,,,,,,
mm/update_installed,Message box title for Multiplayer mod update,Installed version:{0},,,,,,,,,,,,,,,,,,,,,,,,,
mm/update_action,Message box title for Multiplayer mod update,Run Unity Mod Manager Installer to apply the update.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Settings,,,,,,,,,,,,,,,,,,,,,,,,,,
settings/settings,settings button,Multiplayer,Мултиплейър,多人游戏,多人遊戲,Hra pro více hráčů,Multiplayer,Multiplayer,Moninpeli,Multijoueur,Mehrspieler,मल्टीप्लेयर,Többjátékos,Multigiocatore,マルチプレイヤー,멀티플레이어,Flerspiller,Wieloosobowy,Multijogador,Multijogador,Multiplayer,Мультиплеер,Hra pre viacerých hráčov,Multijugador,Flera spelare,Çok Oyunculu,Багатокористувацька гра
settings/settings__tooltip,settings button tooltip,Multiplayer settings.,Настройки за мултиплейър.,多人游戏设置。,多人遊戲設定。,Nastavení hry pro více hráčů.,Multiplayerindstillinger.,Multiplayerinstellingen.,Moninpeliasetukset.,Paramètres multijoueur.,Mehrspieler-Einstellungen.,मल्टीप्लेयर सेटिंग्स।,Többjátékos beállítások.,Impostazioni multigiocatore.,マルチプレイヤー設定。,멀티플레이어 설정.,Flerspillerinnstillinger.,Ustawienia trybu wieloosobowego.,Configurações de multijogador.,Definições de multijogador.,Setări multiplayer.,Настройки мультиплеера.,Nastavenia hry pre viacerých hráčov.,Ajustes de multijugador.,Flerspelarinställningar.,Çok oyunculu ayarları.,Налаштування багатокористувацької гри.
settings/settings__tooltip_disabled,Unused,,,,,,,,,,,,,,,,,,,,,,,,,,
settings/use_steam_name,use name from steam platform,Use Steam Player Name,Използвай Steam име на играча,使用 Steam 玩家名称,使用 Steam 玩家名稱,Použít jméno hráče ze Steamu,Brug Steam-spillernavn,Gebruik Steam-spelersnaam,Käytä Steam-pelaajanimeä,Utiliser le nom de joueur Steam,Steam-Spielernamen verwenden,Steam खिलाड़ी नाम का उपयोग करें,Steam-játékosnév használata,Usa il nome giocatore di Steam,Steamプレイヤー名を使用,Steam 플레이어 이름 사용,Bruk Steam-spillernavn,Użyj nazwy gracza Steam,Usar nome de jogador da Steam,Usar nome de jogador da Steam,Folosește numele de jucător Steam,Использовать имя игрока Steam,Použiť meno hráča zo Steamu,Usar nombre de jugador de Steam,Använd Steam-spelarnamn,Steam Oyuncu Adını Kullan,Використовувати ім’я гравця Steam
settings/use_steam_name__tooltip,use name from steam platform,Use your Steam player name.,Използвай вашето Steam име на играча.,使用你的 Steam 玩家名称。,使用你的 Steam 玩家名稱。,Použijte své jméno hráče ze Steamu.,Brug dit Steam-spillernavn.,Gebruik je Steam-spelersnaam.,Käytä Steam-pelaajanimeäsi.,Utilisez votre nom de joueur Steam.,Verwende deinen Steam-Spielernamen.,अपना Steam खिलाड़ी नाम उपयोग करें।,Használd a Steam-játékosnevedet.,Usa il tuo nome giocatore di Steam.,あなたのSteamプレイヤー名を使用します。,내 Steam 플레이어 이름 사용.,Bruk Steam-spillernavnet ditt.,Użyj swojej nazwy gracza Steam.,Use seu nome de jogador da Steam.,Usa o teu nome de jogador da Steam.,Folosește numele tău de jucător Steam.,Использовать ваше имя игрока Steam.,Použite svoje meno hráča zo Steamu.,Usa tu nombre de jugador de Steam.,Använd ditt Steam-spelarnamn.,Steam oyuncu adını kullan.,Використовувати ваше ім’я гравця Steam.
settings/use_steam_name__tooltip_disabled,Unused,,,,,,,,,,,,,,,,,,,,,,,,,,
settings/player_name,override player name,Player Name,Име на играча,玩家名称,玩家名稱,Jméno hráče,Spillernavn,Spelersnaam,Pelaajan nimi,Nom du joueur,Spielername,खिलाड़ी का नाम,Játékosnév,Nome giocatore,プレイヤー名,플레이어 이름,Spillernavn,Nazwa gracza,Nome do jogador,Nome do jogador,Nume jucător,Имя игрока,Meno hráča,Nombre del jugador,Spelarnamn,Oyuncu Adı,Ім’я гравця
settings/player_name__tooltip,override player name,Custom player name.,Персонализирано име на играча.,自定义玩家名称。,自訂玩家名稱。,Vlastní jméno hráče.,Brugerdefineret spillernavn.,Aangepaste spelersnaam.,Mukautettu pelaajan nimi.,Nom de joueur personnalisé.,Benutzerdefinierter Spielername.,कस्टम खिलाड़ी नाम।,Egyéni játékosnév.,Nome giocatore personalizzato.,カスタムプレイヤー名。,사용자 지정 플레이어 이름.,Tilpasset spillernavn.,Niestandardowa nazwa gracza.,Nome de jogador personalizado.,Nome de jogador personalizado.,Nume de jucător personalizat.,Пользовательское имя игрока.,Vlastné meno hráča.,Nombre de jugador personalizado.,Anpassat spelarnamn.,Özel oyuncu adı.,Користувацьке ім’я гравця.
settings/player_name__tooltip_disabled,override player name,"Uncheck 'Use Steam Player Name' to use a custom player name.","Махнете отметката от 'Използвай Steam име на играча', за да използвате персонализирано име на играча。","取消勾选“使用 Steam 玩家名称”以使用自定义玩家名称。","取消勾選「使用 Steam 玩家名稱」以使用自訂玩家名稱。","Zrušte zaškrtnutí možnosti 'Použít jméno hráče ze Steamu', chcete-li použít vlastní jméno hráče。","Fjern markeringen i 'Brug Steam-spillernavn' for at bruge et brugerdefineret spillernavn。","Schakel 'Gebruik Steam-spelersnaam' uit om een aangepaste spelersnaam te gebruiken。","Poista valinta kohdasta 'Käytä Steam-pelaajanimeä' käyttääksesi mukautettua pelaajan nimeä。","Décochez « Utiliser le nom de joueur Steam » pour utiliser un nom de joueur personnalisé。","Deaktiviere 'Steam-Spielernamen verwenden', um einen benutzerdefinierten Spielernamen zu verwenden。","कस्टम खिलाड़ी नाम उपयोग करने के लिए 'Steam खिलाड़ी नाम का उपयोग करें' को अनचेक करें।","Vedd ki a pipát a 'Steam-játékosnév használata' jelölőnégyzetből egyéni játékosnév használatához。","Deseleziona 'Usa il nome giocatore di Steam' per usare un nome giocatore personalizzato。","カスタムプレイヤー名を使用するには「Steamプレイヤー名を使用」のチェックを外してください。","사용자 지정 플레이어 이름을 사용하려면 'Steam 플레이어 이름 사용'을 선택 해제하세요。","Fjern avmerkingen for 'Bruk Steam-spillernavn' for å bruke et tilpasset spillernavn。","Odznacz 'Użyj nazwy gracza Steam', aby użyć niestandardowej nazwy gracza。","Desmarque 'Usar nome de jogador da Steam' para usar um nome de jogador personalizado。","Desmarca 'Usar nome de jogador da Steam' para usar um nome de jogador personalizado。","Debifează „Folosește numele de jucător Steam” pentru a folosi un nume de jucător personalizat。","Снимите флажок 'Использовать имя игрока Steam', чтобы использовать пользовательское имя игрока。","Zrušte zaškrtnutie možnosti 'Použiť meno hráča zo Steamu', ak chcete použiť vlastné meno hráča。","Desmarca 'Usar nombre de jugador de Steam' para usar un nombre de jugador personalizado。","Avmarkera 'Använd Steam-spelarnamn' för att använda ett anpassat spelarnamn。","Özel bir oyuncu adı kullanmak için 'Steam Oyuncu Adını Kullan' seçeneğinin işaretini kaldırın。","Зніміть позначку з пункту 'Використовувати ім’я гравця Steam', щоб використовувати користувацьке ім’я гравця。"
settings/choose_character,Button to choose character,Choose Character,Избери герой,选择角色,選擇角色,Zvolit postavu,Vælg figur,Kies personage,Valitse hahmo,Choisir le personnage,Charakter wählen,चरित्र चुनें,Karakter kiválasztása,Scegli personaggio,キャラクターを選択,캐릭터 선택,Velg figur,Wybierz postać,Escolher personagem,Escolher personagem,Alege personajul,Выбрать персонажа,Zvoliť postavu,Elegir personaje,Välj karaktär,Karakter Seç,Вибрати персонажа
settings/choose_character__tooltip,Button to choose character,Choose a character.,Изберете герой.,选择一个角色。,選擇一個角色。,Vyberte postavu.,Vælg en figur.,Kies een personage.,Valitse hahmo.,Choisissez un personnage.,Wähle einen Charakter.,एक चरित्र चुनें।,Válassz egy karaktert.,Scegli un personaggio.,キャラクターを選択してください。,캐릭터를 선택하세요.,Velg en figur.,Wybierz postać.,Escolha um personagem.,Escolhe uma personagem.,Alege un personaj.,Выберите персонажа.,Vyberte si postavu.,Elige un personaje.,Välj en karaktär.,Bir karakter seçin.,Виберіть персонажа.
settings/choose_character__tooltip_disabled,Unused,,,,,,,,,,,,,,,,,,,,,,,,,,
settings/show_name_tags,Show name tags,Show Name Tags,Показвай етикети с имена,显示名称标签,顯示名稱標籤,Zobrazit jmenovky,Vis navneskilte,Naamlabels weergeven,Näytä nimikyltit,Afficher les étiquettes de nom,Namensschilder anzeigen,नाम टैग दिखाएँ,Névcímkék megjelenítése,Mostra etichette nome,ネームタグを表示,이름표 표시,Vis navnelapper,Pokaż etykiety nazw,Mostrar etiquetas de nomes,Mostrar etiquetas de nomes,Afișează etichetele cu nume,Показывать метки имен,Zobraziť menovky,Mostrar etiquetas de nombre,Visa namnskyltar,İsim Etiketlerini Göster,Показувати мітки імен
settings/show_name_tags__tooltip,Show name tags,Show player names above character's head.,Показвай имената на играчите над главата на героя.,在角色头顶显示玩家名称。,在角色頭頂顯示玩家名稱。,Zobrazit jména hráčů nad hlavou postavy.,Vis spillernavne over figurens hoved.,Toon spelersnamen boven het hoofd van het personage.,Näytä pelaajien nimet hahmon pään yläpuolella.,Afficher les noms des joueurs au-dessus de la tête du personnage.,Spielernamen über dem Kopf des Charakters anzeigen.,चरित्र के सिर के ऊपर खिलाड़ी के नाम दिखाएँ।,A játékosok neveinek megjelenítése a karakter feje felett.,Mostra i nomi dei giocatori sopra la testa del personaggio.,キャラクターの頭上にプレイヤー名を表示します。,캐릭터 머리 위에 플레이어 이름을 표시합니다.,Vis spillernavn over figurens hode.,Pokazuj nazwy graczy nad głową postaci.,Mostrar nomes dos jogadores acima da cabeça do personagem.,Mostrar nomes dos jogadores acima da cabeça da personagem.,Afișează numele jucătorilor deasupra capului personajului.,Показывать имена игроков над головой персонажа.,Zobraziť mená hráčov nad hlavou postavy.,Mostrar nombres de jugadores sobre la cabeza del personaje.,Visa spelarnamn ovanför karaktärens huvud.,Oyuncu adlarını karakterin başının üstünde göster.,Показувати імена гравців над головою персонажа.
settings/show_name_tags__tooltip_disabled,Unused,,,,,,,,,,,,,,,,,,,,,,,,,,
settings/show_pings,Show pings,Show Pings,Показвай пинг,显示延迟,顯示延遲,Zobrazit pingy,Vis ping,Ping weergeven,Näytä pingit,Afficher les pings,Pings anzeigen,पिंग दिखाएँ,Pingek megjelenítése,Mostra ping,ピングを表示,핑 표시,Vis ping,Pokaż pingi,Mostrar pings,Mostrar pings,Afișează ping-urile,Показывать пинг,Zobraziť pingy,Mostrar pings,Visa pingar,Pingleri Göster,Показувати пінг
"settings/show_pings__tooltip","Show name tags","Show player's ping above character's head (requires player name tag to be visible).","Показвай пинга на играча над главата на героя (изисква етикетът с името на играча да е видим).","在角色头顶显示玩家延迟（需要显示玩家名称标签）。","在角色頭頂顯示玩家延遲（需要顯示玩家名稱標籤）。","Zobrazit ping hráče nad hlavou postavy (vyžaduje viditelnou jmenovku hráče).","Vis spillerens ping over figurens hoved (kræver at spillerens navneskilt er synligt).","Toon de ping van de speler boven het hoofd van het personage (vereist dat het naamlabel van de speler zichtbaar is).","Näytä pelaajan viive hahmon pään yläpuolella (edellyttää, että pelaajan nimikyltti on näkyvissä).","Afficher le ping du joueur au-dessus de la tête du personnage (nécessite que l’étiquette de nom du joueur soit visible).","Ping des Spielers über dem Kopf des Charakters anzeigen (erfordert ein sichtbares Namensschild des Spielers).","चरित्र के सिर के ऊपर खिलाड़ी का पिंग दिखाएँ (इसके लिए खिलाड़ी का नाम टैग दिखाई देना आवश्यक है)।","A játékos pingjének megjelenítése a karakter feje felett (a játékos névcímkéjének láthatónak kell lennie).","Mostra il ping del giocatore sopra la testa del personaggio (richiede che l’etichetta nome del giocatore sia visibile).","キャラクターの頭上にプレイヤーのピングを表示します（プレイヤー名タグが表示されている必要があります）。","캐릭터 머리 위에 플레이어 핑을 표시합니다 (플레이어 이름표가 표시되어 있어야 함).","Vis spillerens ping over figurens hode (krever at spillerens navnelapp er synlig).","Pokazuj ping gracza nad głową postaci (wymaga widocznej etykiety nazwy gracza).","Mostrar o ping do jogador acima da cabeça do personagem (requer que a etiqueta de nome do jogador esteja visível).","Mostrar o ping do jogador acima da cabeça da personagem (requer que a etiqueta de nome do jogador esteja visível).","Afișează ping-ul jucătorului deasupra capului personajului (necesită ca eticheta cu numele jucătorului să fie vizibilă).","Показывать пинг игрока над головой персонажа (требуется, чтобы метка имени игрока была видимой).","Zobraziť ping hráča nad hlavou postavy (vyžaduje, aby bola menovka hráča viditeľná).","Mostrar el ping del jugador sobre la cabeza del personaje (requiere que la etiqueta del nombre del jugador esté visible).","Visa spelarens ping ovanför karaktärens huvud (kräver att spelarens namnskylt är synlig).","Oyuncunun pingini karakterin başının üstünde göster (oyuncu isim etiketi görünür olmalıdır).","Показувати пінг гравця над головою персонажа (потрібно, щоб мітка імені гравця була видимою)."
settings/show_pings__tooltip_disabled,Unused,,,,,,,,,,,,,,,,,,,,,,,,,,
settings/show_player_list,Show player list,Show Player List,Показвай списък с играчи,显示玩家列表,顯示玩家列表,Zobrazit seznam hráčů,Vis spillerliste,Spelerslijst weergeven,Näytä pelaajaluettelo,Afficher la liste des joueurs,Spielerliste anzeigen,खिलाड़ी सूची दिखाएँ,Játékoslista megjelenítése,Mostra elenco giocatori,プレイヤーリストを表示,플레이어 목록 표시,Vis spillerliste,Pokaż listę graczy,Mostrar lista de jogadores,Mostrar lista de jogadores,Afișează lista de jucători,Показывать список игроков,Zobraziť zoznam hráčov,Mostrar lista de jugadores,Visa spelarlista,Oyuncu Listesini Göster,Показувати список гравців
settings/show_player_list__tooltip,Show player list,Show the list of players in mouse/ALT mode (non-VR only).,Показвай списъка с играчи в режим мишка/ALT (само за не-VR).,在鼠标/ALT模式下显示玩家列表（仅限非VR）。,在滑鼠/ALT模式下顯示玩家列表（僅限非VR）。,Zobrazit seznam hráčů v režimu myš/ALT (pouze non-VR).,Vis listen over spillere i mus/ALT-tilstand (kun ikke-VR).,Toon de lijst met spelers in muis/ALT-modus (alleen niet-VR).,Näytä pelaajaluettelo hiiri/ALT-tilassa (vain ei-VR).,Afficher la liste des joueurs en mode souris/ALT (non-VR uniquement).,Spielerliste im Maus/ALT-Modus anzeigen (nur Nicht-VR).,माउस/ALT मोड में खिलाड़ियों की सूची दिखाएँ (केवल non-VR)।,A játékoslista megjelenítése egér/ALT módban (csak nem VR).,Mostra l’elenco dei giocatori in modalità mouse/ALT (solo non-VR).,マウス/ALTモードでプレイヤー一覧を表示します（非VRのみ）。,마우스/ALT 모드에서 플레이어 목록을 표시합니다 (비VR 전용).,Vis listen over spillere i mus/ALT-modus (kun ikke-VR).,Pokaż listę graczy w trybie mysz/ALT (tylko poza VR).,Mostrar a lista de jogadores no modo mouse/ALT (somente não VR).,Mostrar a lista de jogadores no modo rato/ALT (apenas não VR).,Afișează lista de jucători în modul mouse/ALT (doar non-VR).,Показывать список игроков в режиме мышь/ALT (только для не-VR).,Zobraziť zoznam hráčov v režime myš/ALT (iba non-VR).,Mostrar la lista de jugadores en modo ratón/ALT (solo no VR).,Visa spelarlistan i mus/ALT-läge (endast icke-VR).,Oyuncu listesini fare/ALT modunda göster (yalnızca VR olmayan).,Показувати список гравців у режимі миша/ALT (лише не-VR).
settings/show_player_list__tooltip_disabled,Unused,,,,,,,,,,,,,,,,,,,,,,,,,,
settings/player_list_position,player list position,Player List Position,Позиция на списъка с играчи,玩家列表位置,玩家列表位置,Pozice seznamu hráčů,Spillerlistens placering,Positie van de spelerslijst,Pelaajaluettelon sijainti,Position de la liste des joueurs,Position der Spielerliste,खिलाड़ी सूची की स्थिति,Játékoslista pozíciója,Posizione elenco giocatori,プレイヤーリストの位置,플레이어 목록 위치,Plassering av spillerliste,Pozycja listy graczy,Posição da lista de jogadores,Posição da lista de jogadores,Poziția listei de jucători,Положение списка игроков,Pozícia zoznamu hráčov,Posición de la lista de jugadores,Spelarlistans position,Oyuncu Listesi Konumu,Положення списку гравців
settings/player_list_position__tooltip,player list position,Location of the player list when visible.,"Местоположение на списъка с играчи, когато е видим.",玩家列表可见时的位置。,玩家列表可見時的位置。,"Umístění seznamu hráčů, když je viditelný。","Placering af spillerlisten, når den er synlig.",Locatie van de spelerslijst wanneer deze zichtbaar is.,"Pelaajaluettelon sijainti, kun se on näkyvissä.",Emplacement de la liste des joueurs lorsqu’elle est visible.,"Position der Spielerliste, wenn sie sichtbar ist.","जब दिखाई दे, तब खिलाड़ी सूची का स्थान।","A játékoslista helye, amikor látható。",Posizione dell’elenco giocatori quando è visibile.,表示中のプレイヤーリストの位置。,표시될 때 플레이어 목록의 위치。,Plassering av spillerlisten når den er synlig.,"Położenie listy graczy, gdy jest widoczna.",Localização da lista de jogadores quando visível.,Localização da lista de jogadores quando visível.,Poziția listei de jucători când este vizibilă.,"Расположение списка игроков, когда он видим。","Umiestnenie zoznamu hráčov, keď je viditeľný。",Ubicación de la lista de jugadores cuando está visible.,Plats för spelarlistan när den är synlig.,Görünür olduğunda oyuncu listesinin konumu.,"Розташування списку гравців, коли він видимий。"
settings/player_list_position__tooltip_disabled,Unused,,,,,,,,,,,,,,,,,,,,,,,,,,
settings/pos_TopLeft,position Top Left,Top Left,Горе вляво,左上,左上,Vlevo nahoře,Øverst til venstre,Linksboven,Ylhäällä vasemmalla,En haut à gauche,Oben links,ऊपर बाएँ,Bal felső,In alto a sinistra,左上,왼쪽 위,Øverst til venstre,W lewym górnym rogu,Canto superior esquerdo,Canto superior esquerdo,Stânga sus,Слева сверху,Vľavo hore,Arriba a la izquierda,Längst upp till vänster,Sol Üst,Вгорі ліворуч
settings/pos_TopRight,position Top Right,Top Right,Горе вдясно,右上,右上,Vpravo nahoře,Øverst til højre,Rechtsboven,Ylhäällä oikealla,En haut à droite,Oben rechts,ऊपर दाएँ,Jobb felső,In alto a destra,右上,오른쪽 위,Øverst til høyre,W prawym górnym rogu,Canto superior direito,Canto superior direito,Dreapta sus,Справа сверху,Vpravo hore,Arriba a la derecha,Längst upp till höger,Sağ Üst,Вгорі праворуч
settings/pos_TopCenter,position Top Centre,Top Centre,Горе по средата,顶部居中,頂部置中,Nahoře uprostřed,Øverst i midten,Middenboven,Ylhäällä keskellä,En haut au centre,Oben mittig,ऊपर बीच में,Fent középen,In alto al centro,上中央,상단 중앙,Øverst i midten,Na górze pośrodku,Topo ao centro,Topo ao centro,Sus la centru,Сверху по центру,Hore uprostred,Arriba al centro,Längst upp i mitten,Üst Orta,Вгорі по центру
settings/chat_key,key to chat,Chat Key   [  {0}  ],Клавиш за чат   [  {0}  ],聊天键   [  {0}  ],聊天鍵   [  {0}  ],Klávesa chatu   [  {0}  ],Chat-tast   [  {0}  ],Chattoets   [  {0}  ],Chat-näppäin   [  {0}  ],Touche de chat   [  {0}  ],Chat-Taste   [  {0}  ],चैट कुंजी   [  {0}  ],Chat billentyű   [  {0}  ],Tasto chat   [  {0}  ],チャットキー   [  {0}  ],채팅 키   [  {0}  ],Chat-tast   [  {0}  ],Klawisz czatu   [  {0}  ],Tecla de chat   [  {0}  ],Tecla de chat   [  {0}  ],Tastă chat   [  {0}  ],Клавиша чата   [  {0}  ],Kláves chatu   [  {0}  ],Tecla de chat   [  {0}  ],Chattangent   [  {0}  ],Sohbet Tuşu   [  {0}  ],Клавіша чату   [  {0}  ]
settings/chat_key__tooltip,key to chat,Key to view/send chat messages (non-VR only).,Клавиш за преглед/изпращане на чат съобщения (само за не-VR).,用于查看/发送聊天消息的按键（仅限非VR）。,用於查看/發送聊天訊息的按鍵（僅限非VR）。,Klávesa pro zobrazení/odeslání chatových zpráv (pouze non-VR).,Tast til at vise/sende chatbeskeder (kun ikke-VR).,Toets om chatberichten te bekijken/verzenden (alleen niet-VR).,Näppäin chat-viestien näyttämiseen/lähettämiseen (vain ei-VR).,Touche pour afficher/envoyer les messages de chat (non-VR uniquement).,Taste zum Anzeigen/Senden von Chatnachrichten (nur Nicht-VR).,चैट संदेश देखने/भेजने की कुंजी (केवल non-VR)।,Billentyű a chatüzenetek megtekintéséhez/küldéséhez (csak nem VR).,Tasto per visualizzare/inviare messaggi chat (solo non-VR).,チャットメッセージの表示/送信に使うキー（非VRのみ）。,채팅 메시지를 확인/전송하는 키 (비VR 전용).,Tast for å vise/sende chatmeldinger (kun ikke-VR).,Klawisz do wyświetlania/wysyłania wiadomości czatu (tylko poza VR).,Tecla para visualizar/enviar mensagens de chat (somente não VR).,Tecla para ver/enviar mensagens de chat (apenas não VR).,Tastă pentru vizualizarea/trimiterea mesajelor de chat (doar non-VR).,Клавиша для просмотра/отправки сообщений чата (только для не-VR).,Kláves na zobrazenie/odoslanie chatových správ (iba non-VR).,Tecla para ver/enviar mensajes de chat (solo no VR).,Tangent för att visa/skicka chattmeddelanden (endast icke-VR).,Sohbet mesajlarını görüntüleme/gönderme tuşu (yalnızca VR olmayan).,Клавіша для перегляду/надсилання повідомлень чату (лише не-VR).
settings/chat_key__tooltip_disabled,Unused,,,,,,,,,,,,,,,,,,,,,,,,,,
settings/key_bind_overlay,overlay message,Press a key to bind...,"Натиснете клавиш, за да зададете...",按下一个按键进行绑定...,按下一個按鍵進行綁定...,Stiskněte klávesu pro přiřazení...,Tryk på en tast for at tildele...,Druk op een toets om te binden...,Paina näppäintä määrittääksesi...,Appuyez sur une touche pour assigner...,Drücke eine Taste zum Belegen...,बाइंड करने के लिए एक कुंजी दबाएँ...,Nyomj le egy billentyűt a hozzárendeléshez...,Premi un tasto per assegnare...,キーを押して割り当て...,바인딩하려면 키를 누르세요...,Trykk på en tast for å tilordne...,"Naciśnij klawisz, aby przypisać...",Pressione uma tecla para vincular...,Prime uma tecla para atribuir...,Apasă o tastă pentru atribuire...,Нажмите клавишу для привязки...,Stlačte kláves na priradenie...,Pulsa una tecla para asignar...,Tryck på en tangent för att binda...,Atamak için bir tuşa basın...,Натисніть клавішу для прив’язки...
settings/show_chat,hide chat,Show Chat Messages,Показвай чат съобщения,显示聊天消息,顯示聊天訊息,Zobrazit chatové zprávy,Vis chatbeskeder,Chatberichten weergeven,Näytä chatviestit,Afficher les messages de chat,Chatnachrichten anzeigen,चैट संदेश दिखाएँ,Chatüzenetek megjelenítése,Mostra messaggi chat,チャットメッセージを表示,채팅 메시지 표시,Vis chatmeldinger,Pokaż wiadomości czatu,Mostrar mensagens de chat,Mostrar mensagens de chat,Afișează mesajele de chat,Показывать сообщения чата,Zobraziť chatové správy,Mostrar mensajes del chat,Visa chattmeddelanden,Sohbet Mesajlarını Göster,Показувати повідомлення чату
